,cash_type,card,money,coffee_name,day,month,year,hour,minute,second
0,card,ANON-0000-0000-0001,38.7,Latte,1,3,2024,10,15,50
1,card,ANON-0000-0000-0002,38.7,Hot Chocolate,1,3,2024,12,19,22
2,card,ANON-0000-0000-0002,38.7,Hot Chocolate,1,3,2024,12,20,18
3,card,ANON-0000-0000-0003,28.9,Americano,1,3,2024,13,46,33
4,card,ANON-0000-0000-0004,38.7,Latte,1,3,2024,13,48,14
5,card,ANON-0000-0000-0005,33.8,Americano with Milk,1,3,2024,15,39,47
6,card,ANON-0000-0000-0006,38.7,Hot Chocolate,1,3,2024,16,19,2
7,card,ANON-0000-0000-0007,33.8,Americano with Milk,1,3,2024,18,39,3
8,card,ANON-0000-0000-0008,38.7,Cocoa,1,3,2024,19,22,1
9,card,ANON-0000-0000-0008,33.8,Americano with Milk,1,3,2024,19,23,15
10,card,ANON-0000-0000-0009,33.8,Americano with Milk,1,3,2024,19,29,17
11,card,ANON-0000-0000-0010,28.9,Americano,2,3,2024,10,22,6
12,cash,ANON-0000-0000-0010,40.0,Latte,2,3,2024,10,30,35
13,card,ANON-0000-0000-0011,33.8,Americano with Milk,2,3,2024,10,41,41
14,card,ANON-0000-0000-0012,33.8,Americano with Milk,2,3,2024,11,59,45
15,card,ANON-0000-0000-0013,28.9,Americano,2,3,2024,14,38,35
16,card,ANON-0000-0000-0014,33.8,Americano with Milk,2,3,2024,16,37,24
17,card,ANON-0000-0000-0004,28.9,Americano,2,3,2024,17,34,54
18,cash,ANON-0000-0000-0004,40.0,Latte,3,3,2024,10,10,43
19,card,ANON-0000-0000-0015,38.7,Latte,3,3,2024,10,27,18
20,card,ANON-0000-0000-0016,28.9,Cortado,3,3,2024,11,33,56
21,card,ANON-0000-0000-0012,28.9,Americano,3,3,2024,12,26,56
22,card,ANON-0000-0000-0017,38.7,Hot Chocolate,3,3,2024,13,9,36
23,card,ANON-0000-0000-0018,38.7,Cocoa,3,3,2024,17,6,40
24,card,ANON-0000-0000-0019,28.9,Cortado,3,3,2024,17,8,45
25,card,ANON-0000-0000-0020,33.8,Americano with Milk,3,3,2024,18,3,23
26,card,ANON-0000-0000-0020,33.8,Americano with Milk,3,3,2024,18,4,27
27,card,ANON-0000-0000-0020,38.7,Hot Chocolate,3,3,2024,18,8,4
28,card,ANON-0000-0000-0001,38.7,Latte,4,3,2024,10,3,51
29,card,ANON-0000-0000-0021,38.7,Latte,4,3,2024,10,54,50
30,card,ANON-0000-0000-0012,33.8,Americano with Milk,4,3,2024,11,5,16
31,card,ANON-0000-0000-0022,24.0,Espresso,4,3,2024,14,4,37
32,card,ANON-0000-0000-0001,38.7,Latte,5,3,2024,9,59,52
33,card,ANON-0000-0000-0023,38.7,Latte,5,3,2024,14,34,55
34,card,ANON-0000-0000-0024,38.7,Latte,5,3,2024,17,34,6
35,card,ANON-0000-0000-0025,38.7,Hot Chocolate,5,3,2024,17,35,25
36,card,ANON-0000-0000-0026,38.7,Cocoa,5,3,2024,17,36,28
37,card,ANON-0000-0000-0027,38.7,Hot Chocolate,5,3,2024,17,37,13
38,card,ANON-0000-0000-0009,38.7,Hot Chocolate,5,3,2024,17,38,9
39,card,ANON-0000-0000-0028,28.9,Cortado,5,3,2024,17,56,15
40,card,ANON-0000-0000-0028,38.7,Hot Chocolate,5,3,2024,18,1,31
41,cash,ANON-0000-0000-0028,35.0,Americano with Milk,6,3,2024,12,30,27
42,card,ANON-0000-0000-0012,28.9,Americano,6,3,2024,13,24,7
43,card,ANON-0000-0000-0012,28.9,Cortado,6,3,2024,13,25,14
44,card,ANON-0000-0000-0029,38.7,Cappuccino,6,3,2024,14,52,1
45,card,ANON-0000-0000-0029,38.7,Cappuccino,6,3,2024,14,53,18
46,cash,ANON-0000-0000-0029,40.0,Latte,7,3,2024,10,8,58
47,card,ANON-0000-0000-0030,38.7,Hot Chocolate,7,3,2024,10,18,40
48,card,ANON-0000-0000-0031,38.7,Latte,7,3,2024,11,3,58
49,cash,ANON-0000-0000-0031,40.0,Latte,7,3,2024,11,25,43
50,card,ANON-0000-0000-0032,28.9,Americano,7,3,2024,15,40,22
51,card,ANON-0000-0000-0033,33.8,Americano with Milk,7,3,2024,15,41,28
52,card,ANON-0000-0000-0012,28.9,Cortado,8,3,2024,10,34,41
53,card,ANON-0000-0000-0034,38.7,Cappuccino,8,3,2024,12,22,28
54,card,ANON-0000-0000-0035,28.9,Americano,8,3,2024,13,53,2
